review_text,PRODUTO,LOGISTICA,PAGAMENTO,PRECO
o fone bluetooth mod. JBL-950 veio com o lado esquerdo mudo... pessima qualidade do plastico,1.0,0.0,0.0,0.0
A entrega demorou + de 15 dias!!! o entregador disse q nao achou o num 45,0.0,1.0,0.0,0.0
paguei no pix faz 3 dias e o status ainda ta como aguardando pagamento... sac nao responde,0.0,0.0,1.0,0.0
O produto ate q e bom mas o preço ta muito salgado... no concorrente ta 20% mais barato,0.0,0.0,0.0,1.0
Comprei o tamanho G mas veio um M q mal cabe no meu filho. etiqueta ta errada,1.0,0.0,0.0,0.0
A transportadora de vcs e pessima!! jogaram a caixa por cima do portao e quebrou o vaso,1.0,1.0,0.0,0.0
tive q pagar 2x pq deu erro na maquina de cartao e cobrou em duplicidade... estorna ai,0.0,0.0,1.0,0.0
"Achei mto caro pelo q oferece. Uma capa de plastico q custou R$ 89,90!! Nao vale",0.0,0.0,0.0,1.0
O tenis veio sem cadarço e com a sola descolada... q falta de respeito com o cliente,1.0,0.0,0.0,0.0
Chegou antes do prazo estabelecido! nota 10 para a entrega rapida via Sedex,0.0,1.0,0.0,0.0
nao aceitou meu vale refeicao nem o cupom de desconto de 15% que recebi no email,0.0,0.0,1.0,0.0
O preço cobrado na gondola era 14.90 mas no caixa passou por 19.90... absurdo isso,0.0,0.0,0.0,1.0
a tv smart 55 pol simplesmente nao liga... tela fica piscando um codigo de erro,1.0,0.0,0.0,0.0
moro no cep 03314-000 e disseram q nao entregam aqui... tive q retirar longe,0.0,1.0,0.0,0.0
o estorno do meu dinheiro agendado pro dia 10 nao caiu na conta ate agr,0.0,0.0,1.0,0.0
Custo beneficio excelente! O produto e barato e cumpre mto bem o papel,1.0,0.0,0.0,1.0
veio faltando os parafusos de montagem do armario modelo AR-20... sac nao resolve,1.0,0.0,0.0,0.0
Comprei 3 camisetas e so chegaram 2... a nota fiscal veio marcando as 3,0.0,1.0,0.0,0.0
tentei parcelar em 10x sem juros mas o site cobrou juros abusivos na parcela,0.0,0.0,1.0,1.0
"O valor do frete de R$ 45,00 ta mais caro do que o proprio produto de R$ 30,00",0.0,1.0,0.0,1.0
o tecido da calça jeans rasgou na primeira lavada... pessimo acabamento,1.0,0.0,0.0,0.0
Objeto ficou retido em Curitiba e ninguem me da uma atualizacao do rastreio,0.0,1.0,0.0,0.0
site nao aceita cartao mastercard de jeito nenhum... tentei 4 vezes e da erro 403,0.0,0.0,1.0,0.0
A inflacao pegou pesado... esse msm produto custava metade do preco ano passado,0.0,0.0,0.0,1.0
veio o modelo totalmente errado... pedi a cor preta e me mandaram rosa choque,1.0,0.0,0.0,0.0
Rastreamento diz q foi entregue ontem mas nao recebi nada! quem assinou essa p*rra?,0.0,1.0,0.0,0.0
o boleto venceu no domingo e na segunda feira ja cancelaram meu pedido... sacanagem,0.0,0.0,1.0,0.0
O produto e bom de verdade mas o valor final com as taxas ficou inviavel,0.0,0.0,0.0,1.0
relogio inteligente veio riscado na tela e com o carregador com mau contato,1.0,0.0,0.0,0.0
O caminhao da entrega quebrou na minha rua e o motorista largou as caixas la,0.0,1.0,0.0,0.0
A cobrança veio errada na minha fatura... estao me cobrando duas assinaturas,0.0,0.0,1.0,0.0
paguei caro achando q era original mas e nitidamente uma replica da china,1.0,0.0,0.0,1.0
o liquidificador quebrou a hélice batendo uma vitamina de banana... fraco demais,1.0,0.0,0.0,0.0
Agendei a entrega pro periodo da manha e o cara chegou as 22h da noite c/ barulho,0.0,1.0,0.0,0.0
nao consigo gerar a 2 via do boleto de jeito nenhum pelo aplicativo de vcs,0.0,0.0,1.0,0.0
o produto ate q e razoavel... mas o preço q vcs cobram e um assalto a mao armada,0.0,0.0,0.0,1.0
material super fragil... quebrou assim q tirei da embalagem plastica,1.0,0.0,0.0,0.0
Caixa veio toda amassada e rasgada... parecia q tinha sido mastigada por um bicho,0.0,1.0,0.0,0.0
Quero o reembolso do meu dinheiro urgente ja faz mais de um mes da devolucao,0.0,0.0,1.0,0.0
Preco justo e cumpre o prometido. Recomendo a compra.,0.0,0.0,0.0,1.0
veio com pecas faltando... nao consigo montar a mesa mod-X pq nao veio o manual,1.0,0.0,0.0,0.0
o motorista se recusou a subir o elevador pra entregar a geladeira... absurdo,0.0,1.0,0.0,0.0
o link do pagamento por aprovaçao nao funciona... da tela branca no celular,0.0,0.0,1.0,0.0
Comprei na promocao de 50% mas cobram o valor cheio no carrinho... propaganda enganosa,0.0,0.0,0.0,1.0
o controle remoto veio sem a tampa das pilhas... controle modelo universal,1.0,0.0,0.0,0.0
correios demorou uma eternidade pra liberar o pacote na agencia central,0.0,1.0,0.0,0.0
Estao me cobrando juros de mora sendo que eu paguei o boleto antes do vencimento,0.0,0.0,1.0,0.0
achei super faturado esse item... nao vale 10 reais e cobram 60,0.0,0.0,0.0,1.0
A bateria nao dura nem 2 horas de uso continuo... celular esquenta demais da conta,1.0,0.0,0.0,0.0
o motoboy foi super grosso e ignorante na hora de entregar a comida,0.0,1.0,0.0,0.0
